Postal Code ID,Postal Code
1,1040
2,1453
3,1752
4,1810
5,1841
6,1852
7,1915
8,2038
9,2138
10,2148
11,2149
12,2151
13,2169
14,2740
15,2886
16,2895
17,2908
18,2920
19,3060
20,3301
21,3820
22,4240
23,4401
24,6010
25,6040
26,6360
27,6450
28,6457
29,6460
30,6484
31,6708
32,6810
33,6824
34,7002
35,7011
36,7017
37,7036
38,7050
39,7055
40,7060
41,7090
42,7109
43,7501
44,7601
45,7960
46,8302
47,8360
48,8401
49,8701
50,8861
51,8901
52,10009
53,10011
54,10024
55,10035
56,10550
57,10701
58,10801
59,11520
60,11550
61,11561
62,11572
63,11757
64,12180
65,13021
66,13440
67,13501
68,13601
69,14215
70,14304
71,14609
72,14701
73,16602
74,17403
75,17602
76,18018
77,18103
78,19013
79,19120
80,19134
81,19140
82,19143
83,19601
84,19711
85,19805
86,19901
87,20016
88,20707
89,20735
90,20852
91,20877
92,21044
93,21215
94,21740
95,22153
96,22204
97,22304
98,22801
99,22901
100,22980
101,23223
102,23320
103,23434
104,23464
105,23602
106,23666
107,24153
108,26003
109,27217
110,27360
111,27405
112,27511
113,27514
114,27534
115,27604
116,27707
117,27834
118,27893
119,28027
120,28052
121,28110
122,28205
123,28314
124,28403
125,28540
126,28601
127,28806
128,29203
129,29406
130,29464
131,29483
132,29501
133,29730
134,30062
135,30076
136,30080
137,30188
138,30318
139,30328
140,30344
141,30605
142,31088
143,31204
144,31907
145,32114
146,32127
147,32137
148,32174
149,32216
150,32303
151,32503
152,32712
153,32725
154,32771
155,32839
156,32935
157,33012
158,33021
159,33023
160,33024
161,33030
162,33063
163,33065
164,33068
165,33134
166,33142
167,33161
168,33178
169,33180
170,33311
171,33317
172,33319
173,33407
174,33433
175,33437
176,33445
177,33458
178,33614
179,33710
180,33801
181,34741
182,34952
183,35244
184,35401
185,35601
186,35630
187,35810
188,36116
189,36608
190,36830
191,37042
192,37064
193,37075
194,37087
195,37130
196,37167
197,37211
198,37421
199,37604
200,37620
201,37918
202,38109
203,38134
204,38301
205,38401
206,38671
207,39212
208,39401
209,39503
210,40214
211,40324
212,40475
213,41042
214,42071
215,42104
216,42301
217,42420
218,43017
219,43055
220,43123
221,43130
222,43229
223,43302
224,43402
225,43615
226,44035
227,44052
228,44060
229,44105
230,44107
231,44134
232,44221
233,44240
234,44256
235,44312
236,45011
237,45014
238,45040
239,45231
240,45373
241,45503
242,46060
243,46142
244,46203
245,46226
246,46350
247,46368
248,46514
249,46544
250,46614
251,47150
252,47201
253,47362
254,47374
255,47401
256,47905
257,48066
258,48073
259,48104
260,48126
261,48127
262,48146
263,48180
264,48183
265,48185
266,48187
267,48205
268,48227
269,48234
270,48237
271,48307
272,48310
273,48601
274,48640
275,48858
276,48911
277,49201
278,49423
279,49505
280,50315
281,50322
282,50701
283,52001
284,52240
285,52302
286,52402
287,52601
288,53081
289,53132
290,53142
291,53186
292,53209
293,53214
294,53711
295,54302
296,54401
297,54601
298,54703
299,54880
300,54915
301,55016
302,55044
303,55106
304,55113
305,55122
306,55124
307,55125
308,55369
309,55407
310,55433
311,55901
312,56301
313,56560
314,57103
315,57401
316,57701
317,58103
318,59102
319,59405
320,59601
321,59715
322,59801
323,60004
324,60016
325,60025
326,60035
327,60067
328,60068
329,60076
330,60089
331,60090
332,60098
333,60126
334,60174
335,60188
336,60201
337,60302
338,60423
339,60440
340,60441
341,60462
342,60477
343,60505
344,60540
345,60543
346,60610
347,60623
348,60653
349,61032
350,61107
351,61604
352,61701
353,61761
354,61821
355,61832
356,62301
357,62521
358,63116
359,63122
360,63301
361,63376
362,64055
363,64118
364,65109
365,65203
366,65807
367,66062
368,66212
369,66502
370,67212
371,67846
372,68025
373,68104
374,68701
375,68801
376,70065
377,70506
378,70601
379,71111
380,71203
381,71603
382,71854
383,71901
384,72032
385,72209
386,72401
387,72701
388,72756
389,72762
390,73034
391,73071
392,73120
393,73505
394,74012
395,74133
396,74403
397,75002
398,75007
399,75019
400,75023
401,75034
402,75043
403,75051
404,75056
405,75061
406,75080
407,75081
408,75104
409,75150
410,75217
411,75220
412,75701
413,76017
414,76021
415,76051
416,76063
417,76106
418,76117
419,76248
420,76706
421,76903
422,77036
423,77041
424,77070
425,77095
426,77301
427,77340
428,77489
429,77506
430,77520
431,77536
432,77571
433,77573
434,77581
435,77590
436,77642
437,77705
438,77803
439,77840
440,78041
441,78207
442,78415
443,78501
444,78521
445,78539
446,78550
447,78577
448,78664
449,78666
450,78745
451,79109
452,79424
453,79605
454,79762
455,79907
456,80004
457,80013
458,80020
459,80022
460,80027
461,80112
462,80122
463,80134
464,80219
465,80229
466,80501
467,80525
468,80538
469,80634
470,80906
471,81001
472,82001
473,83201
474,83301
475,83501
476,83605
477,83642
478,83704
479,84020
480,84041
481,84043
482,84057
483,84062
484,84084
485,84106
486,84107
487,84321
488,84604
489,85023
490,85204
491,85224
492,85234
493,85254
494,85281
495,85301
496,85323
497,85345
498,85364
499,85635
500,85705
501,86442
502,87105
503,87124
504,87401
505,87505
506,88001
507,88101
508,88220
509,89015
510,89031
511,89115
512,89431
513,89502
514,90004
515,90008
516,90032
517,90036
518,90045
519,90049
520,90278
521,90301
522,90503
523,90604
524,90640
525,90660
526,90712
527,90805
528,91104
529,91360
530,91505
531,91730
532,91761
533,91767
534,91776
535,91911
536,91941
537,92020
538,92024
539,92025
540,92037
541,92054
542,92105
543,92236
544,92253
545,92307
546,92345
547,92374
548,92399
549,92404
550,92503
551,92530
552,92553
553,92563
554,92592
555,92627
556,92630
557,92646
558,92672
559,92677
560,92683
561,92691
562,92704
563,92804
564,93010
565,93030
566,93101
567,93277
568,93309
569,93405
570,93454
571,93534
572,93727
573,93905
574,94061
575,94086
576,94109
577,94110
578,94122
579,94403
580,94509
581,94513
582,94521
583,94526
584,94533
585,94568
586,94591
587,94601
588,95037
589,95051
590,95123
591,95207
592,95240
593,95336
594,95351
595,95610
596,95616
597,95661
598,95687
599,95695
600,95823
601,95928
602,96003
603,97030
604,97123
605,97206
606,97224
607,97301
608,97405
609,97477
610,97504
611,97756
612,98002
613,98006
614,98026
615,98031
616,98042
617,98052
618,98059
619,98103
620,98105
621,98115
622,98198
623,98208
624,98226
625,98270
626,98502
627,98632
628,98661
629,99207
630,99301
631,05408
